     n         h                l                k               nl               nk
     1  -0.28288284E+00   0.10383574E+00   0.00000000E+00   0.10383574E+00   0.00000000E+00
     2  -0.98695606E+00   0.23097975E-01  -0.30572280E+00   0.46195950E-01  -0.61144560E+00
     3  -0.10440967E+01   0.69724204E-01  -0.19631219E+00   0.20917261E+00  -0.58893657E+00
     4  -0.10445795E+01   0.58511963E-01  -0.13388808E+00   0.23404785E+00  -0.53555232E+00
     5  -0.10753454E+01   0.45997052E-01  -0.10489182E+00   0.22998526E+00  -0.52445910E+00
     6  -0.11307419E+01   0.38397843E-01  -0.90502785E-01   0.23038706E+00  -0.54301671E+00
     7  -0.11971613E+01   0.33983900E-01  -0.82230448E-01   0.23788730E+00  -0.57561314E+00
     8  -0.12665800E+01   0.31232857E-01  -0.76714765E-01   0.24986286E+00  -0.61371812E+00
     9  -0.13352637E+01   0.29355315E-01  -0.72600364E-01   0.26419783E+00  -0.65340328E+00
    10  -0.14017138E+01   0.27978885E-01  -0.69299886E-01   0.27978885E+00  -0.69299886E+00
    12  -0.15263382E+01   0.26087908E-01  -0.64133677E-01   0.31305490E+00  -0.76960412E+00
    15  -0.16927169E+01   0.24391685E-01  -0.58374313E-01   0.36587527E+00  -0.87561469E+00
    18  -0.18363041E+01   0.23303962E-01  -0.53870219E-01   0.41947132E+00  -0.96966394E+00
    21  -0.19592143E+01   0.22430495E-01  -0.50064554E-01   0.47104040E+00  -0.10513556E+01
    23  -0.20307798E+01   0.21883437E-01  -0.47789116E-01   0.50331905E+00  -0.10991497E+01
    25  -0.20948840E+01   0.21341509E-01  -0.45677604E-01   0.53353773E+00  -0.11419401E+01
    32  -0.22708998E+01   0.19441780E-01  -0.39310444E-01   0.62213696E+00  -0.12579342E+01
    36  -0.23454792E+01   0.18382237E-01  -0.36262203E-01   0.66176053E+00  -0.13054393E+01
    56  -0.25678346E+01   0.13973596E-01  -0.25525347E-01   0.78252138E+00  -0.14294194E+01
   100  -0.27774644E+01   0.86996602E-02  -0.14841360E-01   0.86996602E+00  -0.14841360E+01
   180  -0.30335485E+01   0.50151628E-02  -0.83599388E-02   0.90272930E+00  -0.15047890E+01
   250  -0.32522052E+01   0.36750875E-02  -0.61899769E-02   0.91877187E+00  -0.15474942E+01
   325  -0.34839029E+01   0.29104642E-02  -0.49720835E-02   0.94590086E+00  -0.16159271E+01
   550  -0.41160805E+01   0.19900021E-02  -0.34014249E-02   0.10945012E+01  -0.18707837E+01
   750  -0.45593755E+01   0.16664388E-02  -0.27679238E-02   0.12498291E+01  -0.20759429E+01
  1000  -0.49668670E+01   0.14124007E-02  -0.22670822E-02   0.14124007E+01  -0.22670822E+01
  1800  -0.56937303E+01   0.95327416E-03  -0.14326627E-02   0.17158935E+01  -0.25787929E+01
  3000  -0.62222699E+01   0.63412180E-03  -0.91146770E-03   0.19023654E+01  -0.27344031E+01
  5000  -0.67662799E+01   0.38736752E-03  -0.56358900E-03   0.19368376E+01  -0.28179450E+01
  7000  -0.72643395E+01   0.26934387E-03  -0.41716951E-03   0.18854071E+01  -0.29201866E+01
 10000  -0.80256137E+01   0.18108776E-03  -0.31607270E-03   0.18108776E+01  -0.31607270E+01
 13000  -0.87984766E+01   0.13890673E-03  -0.26774689E-03   0.18057875E+01  -0.34807096E+01
 13182  -0.88453130E+01   0.13718134E-03  -0.26565954E-03   0.18083244E+01  -0.35019241E+01
 14210  -0.91090487E+01   0.12870074E-03  -0.25507219E-03   0.18288375E+01  -0.36245758E+01
 15240  -0.93712754E+01   0.12202438E-03  -0.24615530E-03   0.18596516E+01  -0.37514068E+01
 16272  -0.96311223E+01   0.11678019E-03  -0.23852650E-03   0.19002473E+01  -0.38813032E+01
 17306  -0.98877487E+01   0.11267290E-03  -0.23189827E-03   0.19499172E+01  -0.40132315E+01
 18342  -0.10140355E+02   0.10946605E-03  -0.22605167E-03   0.20078263E+01  -0.41462397E+01
 19380  -0.10388191E+02   0.10696905E-03  -0.22081815E-03   0.20730602E+01  -0.42794557E+01
 20420  -0.10630560E+02   0.10502754E-03  -0.21606690E-03   0.21446624E+01  -0.44120861E+01
 21462  -0.10866826E+02   0.10351616E-03  -0.21169571E-03   0.22216638E+01  -0.45434133E+01
 22506  -0.11096416E+02   0.10233296E-03  -0.20762432E-03   0.23031056E+01  -0.46727929E+01
 23552  -0.11318819E+02   0.10139505E-03  -0.20378958E-03   0.23880562E+01  -0.47996522E+01
 24600  -0.11533597E+02   0.10063522E-03  -0.20014177E-03   0.24756264E+01  -0.49234875E+01
 25650  -0.11740378E+02   0.99999146E-04  -0.19664181E-03   0.25649781E+01  -0.50438624E+01
 26702  -0.11938860E+02   0.99443273E-04  -0.19325914E-03   0.26553343E+01  -0.51604056E+01
 27756  -0.12128813E+02   0.98933007E-04  -0.18997005E-03   0.27459845E+01  -0.52728087E+01
