     n         h                l                k               nl               nk
     1  -0.28571119E+00   0.10384968E+00   0.00000000E+00   0.10384968E+00   0.00000000E+00
     2  -0.99160446E+00   0.23154863E-01  -0.30568063E+00   0.46309726E-01  -0.61136126E+00
     3  -0.10506163E+01   0.69769019E-01  -0.19627607E+00   0.20930706E+00  -0.58882821E+00
     4  -0.10530027E+01   0.58542937E-01  -0.13386521E+00   0.23417175E+00  -0.53546084E+00
     5  -0.10856787E+01   0.46021891E-01  -0.10487821E+00   0.23010946E+00  -0.52439105E+00
     6  -0.11429804E+01   0.38421331E-01  -0.90494272E-01   0.23052799E+00  -0.54296563E+00
     7  -0.12112988E+01   0.34008344E-01  -0.82224496E-01   0.23805841E+00  -0.57557147E+00
     8  -0.12826114E+01   0.31259353E-01  -0.76710002E-01   0.25007482E+00  -0.61368002E+00
     9  -0.13531851E+01   0.29384398E-01  -0.72596025E-01   0.26445958E+00  -0.65336422E+00
    10  -0.14215217E+01   0.28010816E-01  -0.69295498E-01   0.28010816E+00  -0.69295498E+00
    12  -0.15499098E+01   0.26125778E-01  -0.64128282E-01   0.31350934E+00  -0.76953938E+00
    15  -0.17219099E+01   0.24438104E-01  -0.58365998E-01   0.36657156E+00  -0.87548997E+00
    18  -0.18710905E+01   0.23357807E-01  -0.53858129E-01   0.42044053E+00  -0.96944632E+00
    21  -0.19995702E+01   0.22490411E-01  -0.50048474E-01   0.47229863E+00  -0.10510180E+01
    23  -0.20748382E+01   0.21946662E-01  -0.47770456E-01   0.50477323E+00  -0.10987205E+01
    25  -0.21426382E+01   0.21407500E-01  -0.45656508E-01   0.53518750E+00  -0.11414127E+01
    32  -0.23315558E+01   0.19513945E-01  -0.39282346E-01   0.62444624E+00  -0.12570351E+01
    36  -0.24134945E+01   0.18456088E-01  -0.36231180E-01   0.66441917E+00  -0.13043225E+01
    56  -0.26726193E+01   0.14046024E-01  -0.25487862E-01   0.78657734E+00  -0.14273203E+01
   100  -0.29632503E+01   0.87554310E-02  -0.14809000E-01   0.87554310E+00  -0.14809000E+01
   180  -0.33669327E+01   0.50485780E-02  -0.83475864E-02   0.90874404E+00  -0.15025656E+01
   250  -0.37146086E+01   0.36989200E-02  -0.61925590E-02   0.92473000E+00  -0.15481398E+01
   325  -0.40839123E+01   0.29293923E-02  -0.49864065E-02   0.95205250E+00  -0.16205821E+01
   550  -0.51221763E+01   0.20009892E-02  -0.34321791E-02   0.11005441E+01  -0.18876985E+01
   750  -0.59184157E+01   0.16644644E-02  -0.28038249E-02   0.12483483E+01  -0.21028687E+01
  1000  -0.67613721E+01   0.13849285E-02  -0.23091703E-02   0.13849285E+01  -0.23091703E+01
  1800  -0.88752868E+01   0.81684392E-03  -0.15110398E-02   0.14703191E+01  -0.27198716E+01
  3000  -0.11535365E+02   0.34660161E-03  -0.10739554E-02   0.10398048E+01  -0.32218662E+01
  5000  -0.15876407E+02  -0.14949374E-04  -0.88659450E-03  -0.74746870E-01  -0.44329725E+01
  7000  -0.20378045E+02  -0.11010529E-03  -0.87754023E-03  -0.77073703E+00  -0.61427816E+01
 10000  -0.27146576E+02  -0.53393505E-04  -0.91786069E-03  -0.53393505E+00  -0.91786069E+01
 13000  -0.33512819E+02   0.67991711E-04  -0.94637185E-03   0.88389224E+00  -0.12302834E+02
 13182  -0.33878210E+02   0.75447993E-04  -0.94730234E-03   0.99455544E+00  -0.12487339E+02
 14210  -0.35888938E+02   0.11641460E-03  -0.95079484E-03   0.16542515E+01  -0.13510795E+02
 15240  -0.37807298E+02   0.15483789E-03  -0.95137708E-03   0.23597294E+01  -0.14498987E+02
 16272  -0.39626286E+02   0.19008867E-03  -0.94920739E-03   0.30931228E+01  -0.15445503E+02
 17306  -0.41340673E+02   0.22182182E-03  -0.94448893E-03   0.38388484E+01  -0.16345325E+02
 18342  -0.42946949E+02   0.24989467E-03  -0.93745048E-03   0.45835680E+01  -0.17194717E+02
 19380  -0.44443248E+02   0.27430856E-03  -0.92833391E-03   0.53160999E+01  -0.17991111E+02
 20420  -0.45829246E+02   0.29516646E-03  -0.91738578E-03   0.60272991E+01  -0.18733018E+02
