     n         h                l                k               nl               nk
     1  -0.28954527E+00   0.10510547E+00   0.00000000E+00   0.10510547E+00   0.00000000E+00
     2  -0.99869274E+00   0.25001502E-01  -0.30520383E+00   0.50003004E-01  -0.61040766E+00
     3  -0.10611970E+01   0.71919146E-01  -0.19582923E+00   0.21575744E+00  -0.58748769E+00
     4  -0.10665404E+01   0.60869626E-01  -0.13343236E+00   0.24347850E+00  -0.53372944E+00
     5  -0.11017207E+01   0.48440186E-01  -0.10439044E+00   0.24220093E+00  -0.52195220E+00
     6  -0.11613112E+01   0.40890712E-01  -0.89928646E-01   0.24534427E+00  -0.53957188E+00
     7  -0.12318159E+01   0.36507468E-01  -0.81580968E-01   0.25555228E+00  -0.57106678E+00
     8  -0.13052568E+01   0.33773965E-01  -0.75996160E-01   0.27019172E+00  -0.60796928E+00
     9  -0.13779232E+01   0.31904127E-01  -0.71821383E-01   0.28713714E+00  -0.64639245E+00
    10  -0.14483343E+01   0.30528468E-01  -0.68469522E-01   0.30528468E+00  -0.68469522E+00
    12  -0.15808823E+01   0.28628455E-01  -0.63225322E-01   0.34354146E+00  -0.75870386E+00
    15  -0.17593681E+01   0.26918644E-01  -0.57401020E-01   0.40377966E+00  -0.86101530E+00
    18  -0.19155590E+01   0.25836017E-01  -0.52880098E-01   0.46504831E+00  -0.95184176E+00
    21  -0.20516290E+01   0.24986480E-01  -0.49090572E-01   0.52471608E+00  -0.10309020E+01
    23  -0.21322212E+01   0.24461245E-01  -0.46837300E-01   0.56260864E+00  -0.10772579E+01
    25  -0.22054836E+01   0.23941994E-01  -0.44752981E-01   0.59854985E+00  -0.11188245E+01
    32  -0.24136062E+01   0.22092540E-01  -0.38487197E-01   0.70696128E+00  -0.12315903E+01
    36  -0.25059404E+01   0.21026770E-01  -0.35487625E-01   0.75696372E+00  -0.12775545E+01
    56  -0.28076398E+01   0.16304501E-01  -0.24913566E-01   0.91305206E+00  -0.13951597E+01
   100  -0.31794102E+01   0.10399202E-01  -0.14728753E-01   0.10399202E+01  -0.14728753E+01
   180  -0.37018161E+01   0.64535650E-02  -0.90092029E-02   0.11616417E+01  -0.16216565E+01
   250  -0.40901418E+01   0.50923635E-02  -0.71500425E-02   0.12730909E+01  -0.17875106E+01
   325  -0.44346703E+01   0.43056236E-02  -0.60422275E-02   0.13993277E+01  -0.19637239E+01
   550  -0.50653550E+01   0.30908333E-02  -0.42484303E-02   0.16999583E+01  -0.23366367E+01
   750  -0.52994060E+01   0.24487991E-02  -0.33194988E-02   0.18365993E+01  -0.24896241E+01
  1000  -0.54103312E+01   0.19088621E-02  -0.25660157E-02   0.19088621E+01  -0.25660157E+01
  1800  -0.54606265E+01   0.10802147E-02  -0.14463612E-02   0.19443865E+01  -0.26034502E+01
  3000  -0.54621309E+01   0.64824711E-03  -0.86857677E-03   0.19447413E+01  -0.26057303E+01
  5000  -0.54625073E+01   0.38890223E-03  -0.52134410E-03   0.19445112E+01  -0.26067205E+01
  7000  -0.54626687E+01   0.27777318E-03  -0.37244927E-03   0.19444123E+01  -0.26071449E+01
 10000  -0.54627899E+01   0.19443382E-03  -0.26074634E-03   0.19443382E+01  -0.26074634E+01
 13000  -0.54628553E+01   0.14956142E-03  -0.20058731E-03   0.19442985E+01  -0.26076350E+01
 13182  -0.54628583E+01   0.14749633E-03  -0.19781846E-03   0.19442966E+01  -0.26076429E+01
 14210  -0.54628739E+01   0.13682528E-03  -0.18351047E-03   0.19442872E+01  -0.26076838E+01
 15240  -0.54628874E+01   0.12757736E-03  -0.17111018E-03   0.19442790E+01  -0.26077191E+01
 16272  -0.54628992E+01   0.11948574E-03  -0.16025996E-03   0.19442720E+01  -0.26077501E+01
