     n         h                l                k               nl               nk
     1  -0.28362547E+00   0.10477421E+00   0.00000000E+00   0.10477421E+00   0.00000000E+00
     2  -0.98880201E+00   0.23749631E-01  -0.30575922E+00   0.47499262E-01  -0.61151844E+00
     3  -0.10467278E+01   0.70400467E-01  -0.19637498E+00   0.21120140E+00  -0.58912494E+00
     4  -0.10478788E+01   0.59316531E-01  -0.13401996E+00   0.23726612E+00  -0.53607984E+00
     5  -0.10789410E+01   0.46880424E-01  -0.10502505E+00   0.23440212E+00  -0.52512525E+00
     6  -0.11343602E+01   0.39302754E-01  -0.90607388E-01   0.23581652E+00  -0.54364433E+00
     7  -0.12006299E+01   0.34876469E-01  -0.82300247E-01   0.24413528E+00  -0.57610173E+00
     8  -0.12697856E+01   0.32095425E-01  -0.76752129E-01   0.25676340E+00  -0.61401703E+00
     9  -0.13381294E+01   0.30179265E-01  -0.72610151E-01   0.27161338E+00  -0.65349136E+00
    10  -0.14041881E+01   0.28760641E-01  -0.69287323E-01   0.28760641E+00  -0.69287323E+00
    12  -0.15279543E+01   0.26785539E-01  -0.64090776E-01   0.32142647E+00  -0.76908931E+00
    15  -0.16930905E+01   0.24984658E-01  -0.58315435E-01   0.37476987E+00  -0.87473152E+00
    18  -0.18357477E+01   0.23830539E-01  -0.53821315E-01   0.42894970E+00  -0.96878367E+00
    21  -0.19581535E+01   0.22926203E-01  -0.50040809E-01   0.48145026E+00  -0.10508570E+01
    23  -0.20295954E+01   0.22372890E-01  -0.47785453E-01   0.51457647E+00  -0.10990654E+01
    25  -0.20936965E+01   0.21831720E-01  -0.45693640E-01   0.54579300E+00  -0.11423410E+01
    32  -0.22698910E+01   0.19945409E-01  -0.39369744E-01   0.63825309E+00  -0.12598318E+01
    36  -0.23442115E+01   0.18879263E-01  -0.36321679E-01   0.67965347E+00  -0.13075804E+01
    56  -0.25599593E+01   0.14249487E-01  -0.25445705E-01   0.79797127E+00  -0.14249595E+01
   100  -0.27694888E+01   0.85803734E-02  -0.14680725E-01   0.85803734E+00  -0.14680725E+01
   180  -0.30797534E+01   0.48944290E-02  -0.84218214E-02   0.88099722E+00  -0.15159279E+01
   250  -0.33491410E+01   0.36743839E-02  -0.63724288E-02   0.91859598E+00  -0.15931072E+01
   325  -0.36203741E+01   0.30098527E-02  -0.52025239E-02   0.97820213E+00  -0.16908203E+01
   550  -0.42699096E+01   0.21402165E-02  -0.35641197E-02   0.11771191E+01  -0.19602658E+01
   750  -0.46727691E+01   0.17568498E-02  -0.28462198E-02   0.13176374E+01  -0.21346649E+01
  1000  -0.50401313E+01   0.14506769E-02  -0.22926487E-02   0.14506769E+01  -0.22926487E+01
  1800  -0.57568256E+01   0.95975997E-03  -0.14328402E-02   0.17275679E+01  -0.25791124E+01
  3000  -0.63221950E+01   0.63429090E-03  -0.91220291E-03   0.19028727E+01  -0.27366087E+01
  5000  -0.69393178E+01   0.38231324E-03  -0.56886313E-03   0.19115662E+01  -0.28443156E+01
  7000  -0.75183055E+01   0.26350999E-03  -0.42700285E-03   0.18445699E+01  -0.29890200E+01
 10000  -0.84046953E+01   0.17841459E-03  -0.33108568E-03   0.17841459E+01  -0.33108568E+01
 13000  -0.92937709E+01   0.14099465E-03  -0.28579768E-03   0.18329305E+01  -0.37153698E+01
 13182  -0.93470729E+01   0.13955312E-03  -0.28383210E-03   0.18395892E+01  -0.37414747E+01
 14210  -0.96457207E+01   0.13261794E-03  -0.27381225E-03   0.18845009E+01  -0.38908721E+01
 15240  -0.99399297E+01   0.12736545E-03  -0.26527245E-03   0.19410495E+01  -0.40427521E+01
 16272  -0.10228509E+02   0.12339771E-03  -0.25784755E-03   0.20079275E+01  -0.41956953E+01
 17306  -0.10510359E+02   0.12040419E-03  -0.25126690E-03   0.20837149E+01  -0.43484250E+01
 18342  -0.10784485E+02   0.11814126E-03  -0.24532783E-03   0.21669470E+01  -0.44998031E+01
 19380  -0.11050003E+02   0.11641727E-03  -0.23987744E-03   0.22561667E+01  -0.46488248E+01
 20420  -0.11306142E+02   0.11508141E-03  -0.23479984E-03   0.23499624E+01  -0.47946127E+01
 21462  -0.11552252E+02   0.11401527E-03  -0.23000703E-03   0.24469957E+01  -0.49364109E+01
 22506  -0.11787798E+02   0.11312627E-03  -0.22543235E-03   0.25460198E+01  -0.50735805E+01
 23552  -0.12012367E+02   0.11234263E-03  -0.22102549E-03   0.26458936E+01  -0.52055923E+01
 24600  -0.12225660E+02   0.11160933E-03  -0.21674890E-03   0.27455895E+01  -0.53320229E+01
 25650  -0.12427492E+02   0.11088493E-03  -0.21257496E-03   0.28441985E+01  -0.54525477E+01
 26702  -0.12617784E+02   0.11013894E-03  -0.20848376E-03   0.29409300E+01  -0.55669334E+01
 27756  -0.12796559E+02   0.10934979E-03  -0.20446150E-03   0.30351128E+01  -0.56750334E+01
 28812  -0.12963931E+02   0.10850305E-03  -0.20049906E-03   0.31261899E+01  -0.57767789E+01
 29870  -0.13120101E+02   0.10759001E-03  -0.19659096E-03   0.32137136E+01  -0.58721720E+01
 30930  -0.13265344E+02   0.10660654E-03  -0.19273449E-03   0.32973403E+01  -0.59612778E+01
 31992  -0.13400002E+02   0.10555208E-03  -0.18892903E-03   0.33768221E+01  -0.60442175E+01
 33056  -0.13524471E+02   0.10442881E-03  -0.18517545E-03   0.34519987E+01  -0.61211597E+01
 34122  -0.13639195E+02   0.10324100E-03  -0.18147570E-03   0.35227894E+01  -0.61923138E+01
 35190  -0.13744655E+02   0.10199447E-03  -0.17783242E-03   0.35891854E+01  -0.62579229E+01
 36260  -0.13841362E+02   0.10069605E-03  -0.17424865E-03   0.36512388E+01  -0.63182560E+01
 37332  -0.13929843E+02   0.99353320E-04  -0.17072765E-03   0.37090581E+01  -0.63736046E+01
 38406  -0.14010643E+02   0.97974217E-04  -0.16727265E-03   0.37627978E+01  -0.64242734E+01
