     n         h                l                k               nl               nk
     1  -0.28891623E+00   0.10531330E+00   0.00000000E+00   0.10531330E+00   0.00000000E+00
     2  -0.99952671E+00   0.24608720E-01  -0.30646965E+00   0.49217440E-01  -0.61293930E+00
     3  -0.10614041E+01   0.71739534E-01  -0.19680633E+00   0.21521860E+00  -0.59041899E+00
     4  -0.10654951E+01   0.60630118E-01  -0.13407625E+00   0.24252047E+00  -0.53630500E+00
     5  -0.10995772E+01   0.48107639E-01  -0.10485222E+00   0.24053820E+00  -0.52426110E+00
     6  -0.11582994E+01   0.40496007E-01  -0.90299054E-01   0.24297604E+00  -0.54179432E+00
     7  -0.12280762E+01   0.36074983E-01  -0.81899048E-01   0.25252488E+00  -0.57329334E+00
     8  -0.13008602E+01   0.33316447E-01  -0.76277488E-01   0.26653158E+00  -0.61021990E+00
     9  -0.13729051E+01   0.31427757E-01  -0.72072535E-01   0.28284981E+00  -0.64865282E+00
    10  -0.14427168E+01   0.30036687E-01  -0.68694021E-01   0.30036687E+00  -0.68694021E+00
    12  -0.15741220E+01   0.28112912E-01  -0.63403911E-01   0.33735494E+00  -0.76084693E+00
    15  -0.17510246E+01   0.26379743E-01  -0.57524609E-01   0.39569614E+00  -0.86286913E+00
    18  -0.19057277E+01   0.25278927E-01  -0.52958270E-01   0.45502069E+00  -0.95324886E+00
    21  -0.20403241E+01   0.24408016E-01  -0.49127579E-01   0.51256834E+00  -0.10316792E+01
    23  -0.21199255E+01   0.23865275E-01  -0.46848503E-01   0.54890132E+00  -0.10775156E+01
    25  -0.21921980E+01   0.23326245E-01  -0.44740004E-01   0.58315613E+00  -0.11185001E+01
    32  -0.23971591E+01   0.21403028E-01  -0.38409674E-01   0.68489690E+00  -0.12291096E+01
    36  -0.24881615E+01   0.20302298E-01  -0.35391019E-01   0.73088273E+00  -0.12740767E+01
    56  -0.27901751E+01   0.15542867E-01  -0.24864928E-01   0.87040055E+00  -0.13924360E+01
   100  -0.31753312E+01   0.97496131E-02  -0.14856282E-01   0.97496131E+00  -0.14856282E+01
   180  -0.37212422E+01   0.59282998E-02  -0.92326824E-02   0.10670940E+01  -0.16618828E+01
