     n         h                l                k               nl               nk
     1  -0.28336734E+00   0.10458639E+00   0.00000000E+00   0.10458639E+00   0.00000000E+00
     2  -0.98965667E+00   0.23394990E-01  -0.30648065E+00   0.46789980E-01  -0.61296130E+00
     3  -0.10476411E+01   0.70357001E-01  -0.19691131E+00   0.21107100E+00  -0.59073393E+00
     4  -0.10481639E+01   0.59306861E-01  -0.13424218E+00   0.23722744E+00  -0.53696872E+00
     5  -0.10786591E+01   0.46835378E-01  -0.10504454E+00   0.23417689E+00  -0.52522270E+00
     6  -0.11337173E+01   0.39234931E-01  -0.90505842E-01   0.23540959E+00  -0.54303505E+00
     7  -0.11997732E+01   0.34800701E-01  -0.82116946E-01   0.24360491E+00  -0.57481862E+00
     8  -0.12688008E+01   0.32018060E-01  -0.76505210E-01   0.25614448E+00  -0.61204168E+00
     9  -0.13370678E+01   0.30101546E-01  -0.72309185E-01   0.27091391E+00  -0.65078266E+00
    10  -0.14030869E+01   0.28682095E-01  -0.68938784E-01   0.28682095E+00  -0.68938784E+00
    12  -0.15268744E+01   0.26703891E-01  -0.63662624E-01   0.32044669E+00  -0.76395149E+00
    15  -0.16922832E+01   0.24897780E-01  -0.57799183E-01   0.37346670E+00  -0.86698774E+00
    18  -0.18354334E+01   0.23735926E-01  -0.53243257E-01   0.42724667E+00  -0.95837863E+00
    21  -0.19584545E+01   0.22817417E-01  -0.49417973E-01   0.47916576E+00  -0.10377774E+01
    23  -0.20303471E+01   0.22250750E-01  -0.47139948E-01   0.51176725E+00  -0.10842188E+01
    25  -0.20949311E+01   0.21693914E-01  -0.45030641E-01   0.54234785E+00  -0.11257660E+01
    32  -0.22732709E+01   0.19750838E-01  -0.38685206E-01   0.63202682E+00  -0.12379266E+01
    36  -0.23493280E+01   0.18662134E-01  -0.35651127E-01   0.67183682E+00  -0.12834406E+01
    56  -0.25797509E+01   0.14078863E-01  -0.25004853E-01   0.78841633E+00  -0.14002718E+01
   100  -0.28201093E+01   0.86793060E-02  -0.14648539E-01   0.86793060E+00  -0.14648539E+01
   180  -0.31324618E+01   0.50670872E-02  -0.84879100E-02   0.91207570E+00  -0.15278238E+01
   250  -0.33831219E+01   0.37858446E-02  -0.64001739E-02   0.94646115E+00  -0.16000435E+01
   325  -0.36348700E+01   0.30605402E-02  -0.51978831E-02   0.99467556E+00  -0.16893120E+01
   550  -0.42627092E+01   0.21307580E-02  -0.35453209E-02   0.11719169E+01  -0.19499265E+01
   750  -0.46697507E+01   0.17503601E-02  -0.28382973E-02   0.13127701E+01  -0.21287230E+01
  1000  -0.50434089E+01   0.14499956E-02  -0.22914093E-02   0.14499956E+01  -0.22914093E+01
  1800  -0.57646771E+01   0.96114594E-03  -0.14336401E-02   0.17300627E+01  -0.25805522E+01
  3000  -0.63313039E+01   0.63512381E-03  -0.91276234E-03   0.19053714E+01  -0.27382870E+01
  5000  -0.69501984E+01   0.38270684E-03  -0.56931085E-03   0.19135342E+01  -0.28465543E+01
  7000  -0.75310424E+01   0.26373406E-03  -0.42744662E-03   0.18461384E+01  -0.29921263E+01
 10000  -0.84203126E+01   0.17858884E-03  -0.33155835E-03   0.17858884E+01  -0.33155835E+01
 13000  -0.93121016E+01   0.14120515E-03  -0.28628874E-03   0.18356670E+01  -0.37217536E+01
 13182  -0.93655565E+01   0.13976663E-03  -0.28432360E-03   0.18424037E+01  -0.37479537E+01
 14210  -0.96650356E+01   0.13284869E-03  -0.27430480E-03   0.18877799E+01  -0.38978712E+01
 15240  -0.99600171E+01   0.12761302E-03  -0.26576360E-03   0.19448224E+01  -0.40502373E+01
 16272  -0.10249303E+02   0.12366083E-03  -0.25833498E-03   0.20122090E+01  -0.42036268E+01
 17306  -0.10531790E+02   0.12068102E-03  -0.25174847E-03   0.20885057E+01  -0.43567590E+01
 18342  -0.10806478E+02   0.11842961E-03  -0.24580160E-03   0.21722359E+01  -0.45084929E+01
 19380  -0.11072481E+02   0.11671479E-03  -0.24034168E-03   0.22619326E+01  -0.46578218E+01
 20420  -0.11329028E+02   0.11538568E-03  -0.23525301E-03   0.23561756E+01  -0.48038665E+01
 21462  -0.11575467E+02   0.11432391E-03  -0.23044785E-03   0.24536198E+01  -0.49458718E+01
 22506  -0.11811266E+02   0.11343701E-03  -0.22585971E-03   0.25530133E+01  -0.50831986E+01
 23552  -0.12036013E+02   0.11265333E-03  -0.22143851E-03   0.26532112E+01  -0.52153198E+01
 24600  -0.12249414E+02   0.11191806E-03  -0.21714690E-03   0.27531843E+01  -0.53418137E+01
 25650  -0.12451286E+02   0.11118994E-03  -0.21295744E-03   0.28520220E+01  -0.54623583E+01
 26702  -0.12641557E+02   0.11043871E-03  -0.20885041E-03   0.29489344E+01  -0.55767236E+01
 27756  -0.12820253E+02   0.10964302E-03  -0.20481218E-03   0.30432517E+01  -0.56847669E+01
 28812  -0.12987497E+02   0.10878865E-03  -0.20083376E-03   0.31344186E+01  -0.57864223E+01
 29870  -0.13143494E+02   0.10786712E-03  -0.19690982E-03   0.32219909E+01  -0.58816963E+01
 30930  -0.13288525E+02   0.10687449E-03  -0.19303779E-03   0.33056280E+01  -0.59706588E+01
 31992  -0.13422939E+02   0.10581039E-03  -0.18921713E-03   0.33850860E+01  -0.60534344E+01
 33056  -0.13547140E+02   0.10467717E-03  -0.18544881E-03   0.34602085E+01  -0.61301959E+01
 34122  -0.13661575E+02   0.10347929E-03  -0.18173485E-03   0.35309203E+01  -0.62011566E+01
 35190  -0.13766734E+02   0.10222267E-03  -0.17807796E-03   0.35972158E+01  -0.62665634E+01
 36260  -0.13863129E+02   0.10091430E-03  -0.17448123E-03   0.36591525E+01  -0.63266894E+01
 37332  -0.13951297E+02   0.99561843E-04  -0.17094794E-03   0.37168427E+01  -0.63818285E+01
 38406  -0.14031785E+02   0.98173349E-04  -0.16748137E-03   0.37704456E+01  -0.64322895E+01
 39482  -0.14105148E+02   0.96757021E-04  -0.16408470E-03   0.38201607E+01  -0.64783921E+01
 40560  -0.14171943E+02   0.95321049E-04  -0.16076091E-03   0.38662217E+01  -0.65204625E+01
 41640  -0.14232723E+02   0.93873494E-04  -0.15751272E-03   0.39088923E+01  -0.65588297E+01
 42722  -0.14288039E+02   0.92422218E-04  -0.15434263E-03   0.39484620E+01  -0.65938258E+01
 43806  -0.14338436E+02   0.90974852E-04  -0.15125282E-03   0.39852444E+01  -0.66257810E+01
 44892  -0.14384453E+02   0.89538814E-04  -0.14824531E-03   0.40195764E+01  -0.66550285E+01
 45980  -0.14426626E+02   0.88121353E-04  -0.14532188E-03   0.40518198E+01  -0.66819000E+01
 46340  -0.14439810E+02   0.87658222E-04  -0.14437452E-03   0.40620820E+01  -0.66903153E+01
   inf  -0.14777886E+02   0.91943543E-04  -0.14896864E-03   0.42606638E+01  -0.69032068E+01
