# Spherical harmonic inversion summary
Date: 2025-04-03 10:58:11
Maximum degree: 20
Rank of design matrix: 440
Variance factor (sigma_0^2): 3.72845911e-06
RMS of residuals: 1.77248983e-03 m

# Degree variance analysis
# n load_power load_error_power SNR
1 1.39324523e+07 2.74771493e+06 2.2518
2 2.17916822e+07 7.57283913e+06 1.6964
3 5.97932238e+08 2.46245082e+08 1.5583
4 8.93691872e+09 4.08007559e+09 1.4800
5 8.06327450e+10 3.88575185e+10 1.4405
6 4.67382895e+11 2.32221768e+11 1.4187
7 1.84844992e+12 9.33688656e+11 1.4070
8 5.17374441e+12 2.63132202e+12 1.4022
9 1.04996496e+13 5.32128981e+12 1.4047
10 1.57196448e+13 7.83067903e+12 1.4168
11 1.75220880e+13 8.44561767e+12 1.4404
12 1.45191344e+13 6.67778658e+12 1.4745
13 8.82646783e+12 3.84101767e+12 1.5159
14 3.84157631e+12 1.57956322e+12 1.5595
15 1.15467235e+12 4.50942334e+11 1.6002
16 2.27768818e+11 8.53504404e+10 1.6336
17 2.73526761e+10 9.96650173e+09 1.6566
18 1.77204712e+09 6.37340726e+08 1.6674
19 4.94411952e+07 1.78285828e+07 1.6653
20 3.38699331e+05 1.24298697e+05 1.6507
