# Load spherical harmonic coefficients
# n m C_nm S_nm sigma_C_nm sigma_S_nm SNR_C SNR_S
0 0 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000 0.0000
1 0 4.6279564728347413e+00 0.0000000000000000e+00 7.3033720483878262e-01 0.0000000000000000e+00 6.3367 0.0000
1 1 1.8359458065959480e+00 -2.1319951015930627e-01 6.3912280532855692e-01 6.9478354224504724e-01 2.8726 0.3069
2 0 1.4687866133564278e+00 0.0000000000000000e+00 1.9495950329290535e-01 0.0000000000000000e+00 7.5338 0.0000
2 1 -2.2408564743027953e-01 -9.9703542921552968e-01 3.4245933107895327e-01 3.9760266221623897e-01 0.6543 2.5076
2 2 6.6920760062203577e-01 -1.0436833476161256e-01 3.0799647806615360e-01 3.0646489770666152e-01 2.1728 0.3406
3 0 -2.5136509387456210e+00 0.0000000000000000e+00 5.9239306217157917e-01 0.0000000000000000e+00 4.2432 0.0000
3 1 -5.9181742072354915e-01 1.6760860995061253e+00 6.7883380296808582e-01 7.8375361259697574e-01 0.8718 2.1385
3 2 7.1021855947567869e-01 -9.9945667211995770e-02 4.3601272368178723e-01 3.8209981736172821e-01 1.6289 0.2616
3 3 -6.1226964766917258e-01 2.0051016109662456e-01 8.8746073157018024e-01 6.5174695597137688e-01 0.6899 0.3077
4 0 1.8268779193040672e+00 0.0000000000000000e+00 7.4211128139713578e-01 0.0000000000000000e+00 2.4617 0.0000
4 1 1.0329522822148838e+00 -2.1299194713448810e+00 6.8836757611505839e-01 7.8923001823227468e-01 1.5006 2.6987
4 2 -2.3784496368964128e+00 5.6450660026753496e-01 5.6806632091885900e-01 5.3243114990300222e-01 4.1869 1.0602
4 3 1.0052224771974010e+00 -4.0106484711556156e-01 9.4861748976278848e-01 7.1899122992529751e-01 1.0597 0.5578
4 4 2.1983583165246090e-01 -2.4986127513522274e-01 3.1088299732487312e-01 3.3483415980518333e-01 0.7071 0.7462
5 0 -1.1073166603848299e+00 0.0000000000000000e+00 4.5933726971983913e-01 0.0000000000000000e+00 2.4107 0.0000
5 1 -8.9386867499309153e-01 1.6356035759175223e+00 3.9200340187857213e-01 4.5673002563398107e-01 2.2803 3.5811
5 2 1.8017217714077673e+00 -4.2507754843386220e-01 3.8218637066690136e-01 3.6908242095921540e-01 4.7142 1.1517
5 3 -8.8751273971516020e-01 3.2210325644700155e-01 5.2842916293681552e-01 4.2924137799090800e-01 1.6795 0.7504
5 4 -3.3016325225465426e-01 2.3903686660934592e-01 2.7172369938723967e-01 2.7656694344291255e-01 1.2151 0.8643
5 5 -1.5521473437378619e-01 9.8853867388158934e-02 1.2476162211318562e-01 1.3339288101848001e-01 1.2441 0.7411
6 0 3.4550687665871954e-01 0.0000000000000000e+00 1.2706049042343895e-01 0.0000000000000000e+00 2.7192 0.0000
6 1 4.6747596288077442e-01 -4.9194023559527067e-01 1.1162250307885717e-01 1.3082043847576089e-01 4.1880 3.7604
6 2 -5.5448086996855994e-01 2.4639680424781302e-01 1.1521252386603571e-01 1.1274028706760998e-01 4.8127 2.1855
6 3 3.2980603686333498e-01 8.9301542833661041e-03 1.4196630977211630e-01 1.2581608009574716e-01 2.3231 0.0710
6 4 2.0086376050321322e-01 -3.9133536445071421e-02 9.3289308505405441e-02 9.5916720551142989e-02 2.1531 0.4080
6 5 6.6557346098395809e-02 -4.0579546614794654e-02 6.4303441898922495e-02 7.0717118194570203e-02 1.0351 0.5738
6 6 1.5383859717365209e-02 6.0158135988534908e-02 4.5354953454043188e-02 4.3799841847494574e-02 0.3392 1.3735
